Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
040E53       5    No     00012C4C-00012C55        A
040E58      39    Yes    00012C56-00012C5D        8
040E91      97    No     00012C5E-00012CF9       9C
040F28      2B    Yes    00012CFA-00012D01        8
040F53       5    No     00012D02-00012D0B        A
040F58      39    Yes    00012D0C-00012D13        8
040F91      47    No     00012D14-00012D5F       4C
040FD8      1B    Yes    00012D60-00012D67        8
040FF3      15    No     00012D68-00012D81       1A
041008      2B    Yes    00012D82-00012D89        8
041033      95    No     00012D8A-00012E23       9A
0410C8      2A    Yes    00012E24-00012E2B        8
0410F2      56    No     00012E2C-00012E86       5B
041150      58    No     00012E87-00012EE3       5D
0411AA      25    Yes    00012EE4-00012EEB        8
0411D3       5    No     00012EEC-00012EF5        A
0411D8      39    Yes    00012EF6-00012EFD        8
041211      77    No     00012EFE-00012F79       7C
041288      2A    Yes    00012F7A-00012F81        8
0412B3       5    No     00012F82-00012F8B        A
0412B8      18    Yes    00012F8C-00012F93        8
0412D1      87    No     00012F94-0001301F       8C
041359      37    Yes    00013020-00013027        8
041391      87    No     00013028-000130B3       8C
041418      39    Yes    000130B4-000130BB        8
041451      67    No     000130BC-00013127       6C
0414B8      1A    Yes    00013128-0001312F        8
0414D2      16    No     00013130-0001314A       1B
0414E8      28    Yes    0001314B-00013152        8
041511      87    No     00013153-000131DE       8C
041598      37    Yes    000131DF-000131E6        8
0415D1      27    No     000131E7-00013212       2C
0415F8       A    Yes    00013213-0001321A        8
041608       B    Yes    0001321B-00013222        8
041613      65    No     00013223-0001328C       6A
041678      17    Yes    0001328D-00013294        8
041691      87    No     00013295-00013320       8C
041719      19    Yes    00013321-00013328        8
041732      16    No     00013329-00013343       1B
041748      2B    Yes    00013344-0001334B        8
041773       5    No     0001334C-00013355        A
041778      19    Yes    00013356-0001335D        8
041791      D7    No     0001335E-00013439       DC
041868      28    Yes    0001343A-00013441        8
041891      77    No     00013442-000134BD       7C
041908      2B    Yes    000134BE-000134C5        8
041933       5    No     000134C6-000134CF        A
041939      18    Yes    000134D0-000134D7        8
041951      97    No     000134D8-00013573       9C
0419E8      29    Yes    00013574-0001357B        8
041A11     147    No     0001357C-000136C7      14C
041B58      39    Yes    000136C8-000136CF        8
041B91      94    No     000136D0-00013768       99
041C25       D    Yes    00013769-00013770        8
041C33       5    No     00013771-0001377A        A
041C39      97    Yes    0001377B-00013782        8
041CD1      84    No     00013783-0001380B       89
041D55      1E    Yes    0001380C-00013813        8
041D73      15    No     00013814-0001382D       1A
041D88      89    Yes    0001382E-00013835        8
041E11      77    No     00013836-000138B1       7C
041E88      2B    Yes    000138B2-000138B9        8
041EB3      95    No     000138BA-00013953       9A
041F48      2B    Yes    00013954-0001395B        8
041F73       5    No     0001395C-00013965        A
041F78      19    Yes    00013966-0001396D        8
041F91      A7    No     0001396E-00013A19       AC
042039      19    Yes    00013A1A-00013A21        8
042052       6    No     00013A22-00013A2C        B
042058      39    Yes    00013A2D-00013A34        8
042091      77    No     00013A35-00013AB0       7C
042108      2B    Yes    00013AB1-00013AB8        8
042133       5    No     00013AB9-00013AC2        A
042138      19    Yes    00013AC3-00013ACA        8
042151      87    No     00013ACB-00013B56       8C
0421D8      38    Yes    00013B57-00013B5E        8
042211      77    No     00013B5F-00013BDA       7C
042288      2A    Yes    00013BDB-00013BE2        8
0422B2      B6    No     00013BE3-00013C9D       BB
042368      29    Yes    00013C9E-00013CA5        8
042391      97    No     00013CA6-00013D41       9C
042429      28    Yes    00013D42-00013D49        8
042451      97    No     00013D4A-00013DE5       9C
0424E8      A9    Yes    00013DE6-00013DED        8
042591      A7    No     00013DEE-00013E99       AC
042638      19    Yes    00013E9A-00013EA1        8
042651      97    No     00013EA2-00013F3D       9C
0426EA      27    Yes    00013F3E-00013F45        8
042711      97    No     00013F46-00013FE1       9C
0427A9      28    Yes    00013FE2-00013FE9        8
0427D1      97    No     00013FEA-00014085       9C
042869      A8    Yes    00014086-0001408D        8
042911      67    No     0001408E-000140F9       6C
042978      1B    Yes    000140FA-00014101        8
042993      15    No     00014102-0001411B       1A
0429A8      29    Yes    0001411C-00014123        8
0429D1      77    No     00014124-0001419F       7C
042A48      29    Yes    000141A0-000141A7        8
042A71       7    No     000141A8-000141B3        C
042A78      19    Yes    000141B4-000141BB        8
042A91      97    No     000141BC-00014257       9C
042B29      28    Yes    00014258-0001425F        8
042B51      97    No     00014260-000142FB       9C
042BE8      29    Yes    000142FC-00014303        8
042C11      97    No     00014304-0001439F       9C
042CA8      2A    Yes    000143A0-000143A7        8
042CD2       6    No     000143A8-000143B2        B
042CD8      39    Yes    000143B3-000143BA        8
042D11      87    No     000143BB-00014446       8C
042D98      1B    Yes    00014447-0001444E        8
042DB3       5    No     0001444F-00014458        A
042DB8      19    Yes    00014459-00014460        8
042DD1      97    No     00014461-000144FC       9C
042E68      2B    Yes    000144FD-00014504        8
042E93       5    No     00014505-0001450E        A
042E98      39    Yes    0001450F-00014516        8
042ED1      7B    No     00014517-00014596       80
042F52       6    No     00014597-000145A1        B
042F59      18    Yes    000145A2-000145A9        8
042F71       7    No     000145AA-000145B5        C
042F78      19    Yes    000145B6-000145BD        8
042F91      47    No     000145BE-00014609       4C
042FD9      19    Yes    0001460A-00014611        8
042FF2      16    No     00014612-0001462C       1B
043008      2B    Yes    0001462D-00014634        8
043033       5    No     00014635-0001463E        A
043040       8    No     0001463F-0001464B        D
043048      2B    Yes    0001464C-00014653        8
043073      A5    No     00014654-000146FD       AA
043119      38    Yes    000146FE-00014705        8
043151      A7    No     00014706-000147B1       AC
0431F8      1B    Yes    000147B2-000147B9        8
043213       5    No     000147BA-000147C3        A
043219      38    Yes    000147C4-000147CB        8
043251      A7    No     000147CC-00014877       AC
0432F8      18    Yes    00014878-0001487F        8
043311      17    No     00014880-0001489B       1C
043329      28    Yes    0001489C-000148A3        8
043351      87    No     000148A4-0001492F       8C
0433D8      19    Yes    00014930-00014937        8
0433F1       7    No     00014938-00014943        C
0433F8      18    Yes    00014944-0001494B        8
043411      47    No     0001494C-00014997       4C
043458      1A    Yes    00014998-0001499F        8
043472      16    No     000149A0-000149BA       1B
043488      2B    Yes    000149BB-000149C2        8
0434B3      95    No     000149C3-00014A5C       9A
043548      2B    Yes    00014A5D-00014A64        8
043573      85    No     00014A65-00014AEE       8A
0435F8      1B    Yes    00014AEF-00014AF6        8
043613      15    No     00014AF7-00014B10       1A
043628      29    Yes    00014B11-00014B18        8
043651      87    No     00014B19-00014BA4       8C
0436D8      39    Yes    00014BA5-00014BAC        8
043711      77    No     00014BAD-00014C28       7C
043788      2A    Yes    00014C29-00014C30        8
0437B2       6    No     00014C31-00014C3B        B
0437B8      19    Yes    00014C3C-00014C43        8
0437D1      47    No     00014C44-00014C8F       4C
043818      1A    Yes    00014C90-00014C97        8
043832      16    No     00014C98-00014CB2       1B
043848      2B    Yes    00014CB3-00014CBA        8
043873      65    No     00014CBB-00014D24       6A
0438D9      1A    Yes    00014D25-00014D2C        8
0438F3      15    No     00014D2D-00014D46       1A
043908      29    Yes    00014D47-00014D4E        8
043931      17    No     00014D4F-00014D6A       1C
043948      2A    Yes    00014D6B-00014D72        8
043972      A6    No     00014D73-00014E1D       AB
043A18      1B    Yes    00014E1E-00014E25        8
043A33       5    No     00014E26-00014E2F        A
043A38      18    Yes    00014E30-00014E37        8
043A51      A7    No     00014E38-00014EE3       AC
043AF8      19    Yes    00014EE4-00014EEB        8
043B11      97    No     00014EEC-00014F87       9C
043BA8      29    Yes    00014F88-00014F8F        8
043BD1      97    No     00014F90-0001502B       9C
043C69      28    Yes    0001502C-00015033        8
043C91      67    No     00015034-0001509F       6C
043CF8      1B    Yes    000150A0-000150A7        8
043D13      15    No     000150A8-000150C1       1A
043D2A      29    Yes    000150C2-000150C9        8
043D53       5    No     000150CA-000150D3        A
043D58      39    Yes    000150D4-000150DB        8
043D91      97    No     000150DC-00015177       9C
043E2B      25    Yes    00015178-0001517F        8
043E51     157    No     00015180-000152DB      15C
043FAA      26    Yes    000152DC-000152E3        8
043FD1      A7    No     000152E4-0001538F       AC
044078      19    Yes    00015390-00015397        8
044091      A7    No     00015398-00015443       AC
044138      19    Yes    00015444-0001544B        8
044151      87    No     0001544C-000154D7       8C
0441D8      1B    Yes    000154D8-000154DF        8
0441F3      56    No     000154E0-0001553A       5B
044251      47    No     0001553B-00015586       4C
044299      38    Yes    00015587-0001558E        8
0442D1      87    No     0001558F-0001561A       8C
044359      38    Yes    0001561B-00015622        8
044391      97    No     00015623-000156BE       9C
044428      29    Yes    000156BF-000156C6        8
044451      77    No     000156C7-00015742       7C
0444C8      2B    Yes    00015743-0001574A        8
0444F3      15    No     0001574B-00015764       1A
044508      2B    Yes    00015765-0001576C        8
044533       5    No     0001576D-00015776        A
044538      18    Yes    00015777-0001577E        8
044551      87    No     0001577F-0001580A       8C
0445D8      39    Yes    0001580B-00015812        8
044611      87    No     00015813-0001589E       8C
044698      1B    Yes    0001589F-000158A6        8
0446B3      A5    No     000158A7-00015950       AA
044758      39    Yes    00015951-00015958        8
044791      A7    No     00015959-00015A04       AC
044838      18    Yes    00015A05-00015A0C        8
044851      87    No     00015A0D-00015A98       8C
0448D8      38    Yes    00015A99-00015AA0        8
044911      87    No     00015AA1-00015B2C       8C
044999      36    Yes    00015B2D-00015B34        8
0449D1      97    No     00015B35-00015BD0       9C
044A6A      27    Yes    00015BD1-00015BD8        8
044A91      87    No     00015BD9-00015C64       8C
044B18      39    Yes    00015C65-00015C6C        8
044B51      77    No     00015C6D-00015CE8       7C
044BC8      2B    Yes    00015CE9-00015CF0        8
044BF3      15    No     00015CF1-00015D0A       1A
044C08      2A    Yes    00015D0B-00015D12        8
044C33      B5    No     00015D13-00015DCC       BA
044CE8      2C    Yes    00015DCD-00015DD4        8
044D14       1    No     00015DD5-00015DDA        6
044D15      3A    Yes    00015DDB-00015DE2        8
044D51      77    No     00015DE3-00015E5E       7C
044DC8      2A    Yes    00015E5F-00015E66        8
044DF2       6    Yes    00015E67-00015E6E        8
044DF8      19    Yes    00015E6F-00015E76        8
044E11      87    No     00015E77-00015F02       8C
044E99      1A    Yes    00015F03-00015F0A        8
044EB3       5    No     00015F0B-00015F14        A
044EB8      19    Yes    00015F15-00015F1C        8
044ED1      87    No     00015F1D-00015FA8       8C
044F58      1B    Yes    00015FA9-00015FB0        8
044F73       5    No     00015FB1-00015FBA        A
044F78      19    Yes    00015FBB-00015FC2        8
044F91      97    No     00015FC3-0001605E       9C
045028      2B    Yes    0001605F-00016066        8
045053       5    No     00016067-00016070        A
045058      39    Yes    00016071-00016078        8
045091      87    No     00016079-00016104       8C
045118      1B    Yes    00016105-0001610C        8
045133      B5    No     0001610D-000161C6       BA
0451E9      28    Yes    000161C7-000161CE        8
045211     127    No     000161CF-000162FA      12C
045338      1B    Yes    000162FB-00016302        8
045353       5    No     00016303-0001630C        A
045358      39    Yes    0001630D-00016314        8
045391      84    No     00016315-0001639D       89
045415      1E    Yes    0001639E-000163A5        8
045433       5    No     000163A6-000163AF        A
045438      19    Yes    000163B0-000163B7        8
045451      94    No     000163B8-00016450       99
0454E5      2C    Yes    00016451-00016458        8
045511     147    No     00016459-000165A4      14C
045658      1B    Yes    000165A5-000165AC        8
045673      15    No     000165AD-000165C6       1A
045688      29    Yes    000165C7-000165CE        8
0456B1       7    No     000165CF-000165DA        C
0456B8      19    Yes    000165DB-000165E2        8
0456D1     294    No     000165E3-0001687B      299
045965      2C    Yes    0001687C-00016883        8
045991      C7    No     00016884-0001694F       CC
045A5A      19    Yes    00016950-00016957        8
045A73      15    No     00016958-00016971       1A
045A88      29    Yes    00016972-00016979        8
045AB1       7    No     0001697A-00016985        C
045AB8      19    Yes    00016986-0001698D        8
045AD1      47    No     0001698E-000169D9       4C
045B18      1B    Yes    000169DA-000169E1        8
045B33      15    No     000169E2-000169FB       1A
045B48      2A    Yes    000169FC-00016A03        8
045B72       6    No     00016A04-00016A0E        B
045B7A      17    Yes    00016A0F-00016A16        8
045B91      E7    No     00016A17-00016B02       EC
045C78      19    Yes    00016B03-00016B0A        8
045C91       7    No     00016B0B-00016B16        C
045C98      37    Yes    00016B17-00016B1E        8
045CD1     214    No     00016B1F-00016D37      219
045EE5      2C    Yes    00016D38-00016D3F        8
045F11      97    No     00016D40-00016DDB       9C
045FA8      29    Yes    00016DDC-00016DE3        8
045FD1      97    No     00016DE4-00016E7F       9C
046069      2A    Yes    00016E80-00016E87        8
046093      15    No     00016E88-00016EA1       1A
0460A9      28    Yes    00016EA2-00016EA9        8
0460D1      D7    No     00016EAA-00016F85       DC
0461A8      29    Yes    00016F86-00016F8D        8
0461D1      97    No     00016F8E-00017029       9C
046268      28    Yes    0001702A-00017031        8
046291      97    No     00017032-000170CD       9C
046329      2A    Yes    000170CE-000170D5        8
046353      15    No     000170D6-000170EF       1A
046369      28    Yes    000170F0-000170F7        8
046391      77    No     000170F8-00017173       7C
04640C      27    Yes    00017174-0001717B        8
046433      B5    No     0001717C-00017235       BA
0464E8      2B    Yes    00017236-0001723D        8
046513      15    No     0001723E-00017257       1A
046528      29    Yes    00017258-0001725F        8
046551      97    No     00017260-000172FB       9C
0465E8      2B    Yes    000172FC-00017303        8
046613       5    No     00017304-0001730D        A
046618      39    Yes    0001730E-00017315        8
046651      97    No     00017316-000173B1       9C
0466EA      29    Yes    000173B2-000173B9        8
046713       5    No     000173BA-000173C3        A
046718      39    Yes    000173C4-000173CB        8
046751      97    No     000173CC-00017467       9C
0467E8      29    Yes    00017468-0001746F        8
046812      16    No     00017470-0001748A       1B
04682A      29    Yes    0001748B-00017492        8
046853       5    No     00017493-0001749C        A
046859      38    Yes    0001749D-000174A4        8
046891      7B    No     000174A5-00017524       80
046912      16    No     00017525-0001753F       1B
046928      2A    Yes    00017540-00017547        8
046953       5    No     00017548-00017551        A
046959      38    Yes    00017552-00017559        8
046991      D7    No     0001755A-00017635       DC
046A68      29    Yes    00017636-0001763D        8
046A91      97    No     0001763E-000176D9       9C
046B28      2A    Yes    000176DA-000176E1        8
046B52       6    No     000176E2-000176EC        B
046B59      38    Yes    000176ED-000176F4        8
046B91      B7    No     000176F5-000177B0       BC
046C48      2B    Yes    000177B1-000177B8        8
046C73       5    No     000177B9-000177C2        A
046C78      18    Yes    000177C3-000177CA        8
06957B       1    No     000177CB-000177D0        6
069E91      13    No     000177D1-000177E8       18
069EAE      13    No     000177E9-00017800       18
069ECB      13    No     00017801-00017818       18
069EE8      13    No     00017819-00017830       18
069F05      13    No     00017831-00017848       18
069F22      13    No     00017849-00017860       18
069F4B      13    No     00017861-00017878       18
069F68      13    No     00017879-00017890       18
069F85      13    No     00017891-000178A8       18
069FA2      13    No     000178A9-000178C0       18
069FBF      13    No     000178C1-000178D8       18
069FDC      13    No     000178D9-000178F0       18
06AAA2       1    No     000178F1-000178F6        6
06B7F2       1    No     000178F7-000178FC        6
06B840       1    No     000178FD-00017902        6
06BAC6      1E    No     00017903-00017925       23
06BB15      16    No     00017926-00017940       1B
06C050       5    No     00017941-0001794A        A
06C0B6       3    No     0001794B-00017952        8
06C442       9    No     00017953-00017960        E
06C8F4       1    No     00017961-00017966        6
06D7EC       9    No     00017967-00017974        E
06D809       9    No     00017975-00017982        E
06D828       1    No     00017983-00017988        6
06D873       1    No     00017989-0001798E        6
06DA02       1    No     0001798F-00017994        6
06DA15       1    No     00017995-0001799A        6
06DA22       1    No     0001799B-000179A0        6
06DA2F       1    No     000179A1-000179A6        6
06DBC6       1    No     000179A7-000179AC        6
06DCD0       1    No     000179AD-000179B2        6
06E3C4      1C    No     000179B3-000179D3       21
06E3F6      29    No     000179D4-00017A01       2E
06E433       1    No     00017A02-00017A07        6
06E43B       2    No     00017A08-00017A0E        7
0700BB       8    No     00017A0F-00017A1B        D
070375       1    No     00017A1C-00017A21        6
0705AB      90    No     00017A22-00017AB6       95
070649     19D    No     00017AB7-00017C58      1A2
0707EE     117    No     00017C59-00017D74      11C
07090B      28    No     00017D75-00017DA1       2D
070939      22    No     00017DA2-00017DC8       27
070962     239    No     00017DC9-00018006      23E
070B9B      10    Yes    00018007-0001800E        8
070BAB      F8    No     0001800F-0001810B       FD
070CA3      10    Yes    0001810C-00018113        8
070CB5     2DE    No     00018114-000183F6      2E3
070F93       E    Yes    000183F7-000183FE        8
070FA3      38    No     000183FF-0001843B       3D
070FEB      D0    No     0001843C-00018510       D5
0710BD       C    Yes    00018511-00018518        8
0710C9     2B2    No     00018519-000187CF      2B7
07137B       8    Yes    000187D0-000187D7        8
07138B      78    No     000187D8-00018854       7D
07140B      A3    No     00018855-000188FC       A8
0714B4      47    No     000188FD-00018948       4C
071506      E5    No     00018949-00018A32       EA
0715EB      10    Yes    00018A33-00018A3A        8
0715FB      8A    No     00018A3B-00018AC9       8F
07168B      58    No     00018ACA-00018B26       5D
0716ED      C6    No     00018B27-00018BF1       CB
0717BA      7D    No     00018BF2-00018C73       82
07183D      C6    No     00018C74-00018D3E       CB
07190B       8    No     00018D3F-00018D4B        D
07191A      F1    No     00018D4C-00018E41       F6
071A0B      47    Yes    00018E42-00018E49        8
071A52      12    No     00018E4A-00018E60       17
071A64       E    Yes    00018E61-00018E68        8
071A72      12    No     00018E69-00018E7F       17
071A84      2C    Yes    00018E80-00018E87        8
071AB0      21    No     00018E88-00018EAD       26
071AD1      14    Yes    00018EAE-00018EB5        8
071AE5     241    No     00018EB6-000190FB      246
071D26      2C    Yes    000190FC-00019103        8
071D52      12    No     00019104-0001911A       17
071D64       E    Yes    0001911B-00019122        8
071D72      12    No     00019123-00019139       17
071D84      47    Yes    0001913A-00019141        8
071DCB       9    Yes    00019142-00019149        8
071DD4      48    No     0001914A-00019196       4D
074FC3       2    No     00019197-0001919D        7
075B50       F    No     0001919E-000191B1       14
075B65       4    No     000191B2-000191BA        9
075B87      26    No     000191BB-000191E5       2B
075BCE       1    No     000191E6-000191EB        6
075BD7       2    No     000191EC-000191F2        7
075DE1       1    No     000191F3-000191F8        6
075E19       1    No     000191F9-000191FE        6
075EB3       1    No     000191FF-00019204        6
075F5B       1    No     00019205-0001920A        6
075F69       1    No     0001920B-00019210        6
075F77       1    No     00019211-00019216        6
075F85       1    No     00019217-0001921C        6
075F93       1    No     0001921D-00019222        6
075FA1       1    No     00019223-00019228        6
075FBD       1    No     00019229-0001922E        6
075FE7       1    No     0001922F-00019234        6
075FF5       1    No     00019235-0001923A        6
076003       1    No     0001923B-00019240        6
07602D       1    No     00019241-00019246        6
076073       1    No     00019247-0001924C        6
07608F       1    No     0001924D-00019252        6
07609D       1    No     00019253-00019258        6
0760AB       1    No     00019259-0001925E        6
0760D5       1    No     0001925F-00019264        6
076153       1    No     00019265-0001926A        6
076161       1    No     0001926B-00019270        6
07618B       1    No     00019271-00019276        6
0761A7       3    No     00019277-0001927E        8
0761DF       1    No     0001927F-00019284        6
076209       1    No     00019285-0001928A        6
076217       1    No     0001928B-00019290        6
07624F       1    No     00019291-00019296        6
076287       1    No     00019297-0001929C        6
07641D       1    No     0001929D-000192A2        6
07642B       1    No     000192A3-000192A8        6
07649B       1    No     000192A9-000192AE        6
0764E1       1    No     000192AF-000192B4        6
076527       1    No     000192B5-000192BA        6
0766BD       1    No     000192BB-000192C0        6
0766D9       1    No     000192C1-000192C6        6
0766E7       1    No     000192C7-000192CC        6
0766F5       1    No     000192CD-000192D2        6
076845       1    No     000192D3-000192D8        6
07687D       1    No     000192D9-000192DE        6
0768ED       1    No     000192DF-000192E4        6
0768FB       1    No     000192E5-000192EA        6
0769A3       1    No     000192EB-000192F0        6
0769BF       1    No     000192F1-000192F6        6
0769CD       1    No     000192F7-000192FC        6
0769E9       1    No     000192FD-00019302        6
076A2F       1    No     00019303-00019308        6
076A3D       1    No     00019309-0001930E        6
076A59       1    No     0001930F-00019314        6
076A67       1    No     00019315-0001931A        6
076A75       1    No     0001931B-00019320        6
076A91       1    No     00019321-00019326        6
078220       8    No     00019327-00019333        D
078280       3    No     00019334-0001933B        8
0782D4       4    No     0001933C-00019344        9
0782F5       3    No     00019345-0001934C        8
078310       7    No     0001934D-00019358        C
078320       7    No     00019359-00019364        C
078330       6    No     00019365-0001936F        B
078340       5    No     00019370-00019379        A
078350       7    No     0001937A-00019385        C
078360       5    No     00019386-0001938F        A
078370       6    No     00019390-0001939A        B
078380       7    No     0001939B-000193A6        C
078390       6    No     000193A7-000193B1        B
0783A0       5    No     000193B2-000193BB        A
0783D0       8    No     000193BC-000193C8        D
0783E0       8    No     000193C9-000193D5        D
0783F0       8    No     000193D6-000193E2        D
078400       6    No     000193E3-000193ED        B
078410       8    No     000193EE-000193FA        D
078420       8    No     000193FB-00019407        D
078430       8    No     00019408-00019414        D
078440       8    No     00019415-00019421        D
078450       8    No     00019422-0001942E        D
078460       8    No     0001942F-0001943B        D
078470       8    No     0001943C-00019448        D
078480       8    No     00019449-00019455        D
078490       8    No     00019456-00019462        D
0784A0       8    No     00019463-0001946F        D
0784B0       8    No     00019470-0001947C        D
0784C0       8    No     0001947D-00019489        D
0784D0       8    No     0001948A-00019496        D
0784E0       8    No     00019497-000194A3        D
0784F0       8    No     000194A4-000194B0        D
078500       8    No     000194B1-000194BD        D
078510       8    No     000194BE-000194CA        D
078520       8    No     000194CB-000194D7        D
078530       8    No     000194D8-000194E4        D
078540       8    No     000194E5-000194F1        D
078550       8    No     000194F2-000194FE        D
078560       8    No     000194FF-0001950B        D
078570       8    No     0001950C-00019518        D
078580       8    No     00019519-00019525        D
078590       8    No     00019526-00019532        D
0785A0       8    No     00019533-0001953F        D
0785B0       8    No     00019540-0001954C        D
078623       5    No     0001954D-00019556        A
078631       7    No     00019557-00019562        C
078644       3    No     00019563-0001956A        8
078651       7    No     0001956B-00019576        C
078663       5    No     00019577-00019580        A
078671       7    No     00019581-0001958C        C
078682       6    No     0001958D-00019597        B
078691       7    No     00019598-000195A3        C
0786A1       7    No     000195A4-000195AF        C
0786B1       7    No     000195B0-000195BB        C
0786C1       7    No     000195BC-000195C7        C
0786D1       7    No     000195C8-000195D3        C
0786E3       5    No     000195D4-000195DD        A
0786F3       5    No     000195DE-000195E7        A
078703       5    No     000195E8-000195F1        A
078712       6    No     000195F2-000195FC        B
078722       6    No     000195FD-00019607        B
078733       5    No     00019608-00019611        A
078743       5    No     00019612-0001961B        A
078751       7    No     0001961C-00019627        C
078763       5    No     00019628-00019631        A
078773       5    No     00019632-0001963B        A
078783       5    No     0001963C-00019645        A
078793       5    No     00019646-0001964F        A
0787A2       6    No     00019650-0001965A        B
0787B4       3    No     0001965B-00019662        8
079089       8    No     00019663-0001966F        D
079099       8    No     00019670-0001967C        D
0790B9       8    No     0001967D-00019689        D
0790C9       8    No     0001968A-00019696        D
07913A       6    No     00019697-000196A1        B
07914A       6    No     000196A2-000196AC        B
07915E       3    No     000196AD-000196B4        8
07918E       3    No     000196B5-000196BC        8
07919A       6    No     000196BD-000196C7        B
0791AA       6    No     000196C8-000196D2        B
0791B9       3    No     000196D3-000196DA        8
0791CD       4    No     000196DB-000196E3        9
0791D9       8    No     000196E4-000196F0        D
079249       8    No     000196F1-000196FD        D
07925D       4    No     000196FE-00019706        9
079269       3    No     00019707-0001970E        8
079272       2    No     0001970F-00019715        7
07927A      17    No     00019716-00019731       1C
079299       8    No     00019732-0001973E        D
0792D1      40    No     0001973F-00019783       45
079329      1B    No     00019784-000197A3       20
07934A       7    No     000197A4-000197AF        C
079359       3    No     000197B0-000197B7        8
079369      48    No     000197B8-00019804       4D
0793B9       5    No     00019805-0001980E        A
0793C9       3    No     0001980F-00019816        8
079464       5    No     00019817-00019820        A
079471       8    No     00019821-0001982D        D
079481       8    No     0001982E-0001983A        D
079494       5    No     0001983B-00019844        A
0794A1       8    No     00019845-00019851        D
0794B1       8    No     00019852-0001985E        D
0794C1       8    No     0001985F-0001986B        D
0794D1       8    No     0001986C-00019878        D
0794E1       6    No     00019879-00019883        B
0794F1       8    No     00019884-00019890        D
079503       6    No     00019891-0001989B        B
079511       8    No     0001989C-000198A8        D
079523       6    No     000198A9-000198B3        B
079531       6    No     000198B4-000198BE        B
079541       8    No     000198BF-000198CB        D
079551       8    No     000198CC-000198D8        D
079561       4    No     000198D9-000198E1        9
079571       8    No     000198E2-000198EE        D
079582       7    No     000198EF-000198FA        C
079591       8    No     000198FB-00019907        D
0795A1       8    No     00019908-00019914        D
0795B1       8    No     00019915-00019921        D
0795C2       7    No     00019922-0001992D        C
0795D1       7    No     0001992E-00019939        C
0795E1       7    No     0001993A-00019945        C
079A64       4    No     00019946-0001994E        9
079A89       8    No     0001994F-0001995B        D
079A99       8    No     0001995C-00019968        D
079AB9       8    No     00019969-00019975        D
079AC9       8    No     00019976-00019982        D
079B3A       6    No     00019983-0001998D        B
079B4A       6    No     0001998E-00019998        B
079B5E       3    No     00019999-000199A0        8
079BBE       3    No     000199A1-000199A8        8
079BCA       6    No     000199A9-000199B3        B
079BDA       6    No     000199B4-000199BE        B
079BE9       3    No     000199BF-000199C6        8
079BFD       4    No     000199C7-000199CF        9
079C09       8    No     000199D0-000199DC        D
079C51      40    No     000199DD-00019A21       45
079CA9       8    No     00019A22-00019A2E        D
079CBD       4    No     00019A2F-00019A37        9
079CC9       3    No     00019A38-00019A3F        8
079CD2       2    No     00019A40-00019A46        7
079CDA      17    No     00019A47-00019A62       1C
079CF9       8    No     00019A63-00019A6F        D
079D21      40    No     00019A70-00019AB4       45
079D69      1B    No     00019AB5-00019AD4       20
079D8A       7    No     00019AD5-00019AE0        C
079D99       3    No     00019AE1-00019AE8        8
079DA9       5    No     00019AE9-00019AF2        A
079DE9       5    No     00019AF3-00019AFC        A
079DF9       3    No     00019AFD-00019B04        8
079E11      80    No     00019B05-00019B89       85
079EB1      40    No     00019B8A-00019BCE       45
079F01      10    No     00019BCF-00019BE3       15
079F11      F0    Yes    00019BE4-00019BEB        8
07A1A1       A    Yes    00019BEC-00019BF3        8
07A1C1       A    No     00019BF4-00019C02        F
07A201       4    Yes    00019C03-00019C0A        8
07A221       A    No     00019C0B-00019C19        F
07A249       2    No     00019C1A-00019C20        7
07A261       A    No     00019C21-00019C2F        F
07A281       A    No     00019C30-00019C3E        F
07A2A5       4    Yes    00019C3F-00019C46        8
07A2C1       8    No     00019C47-00019C53        D
07A2E1       A    No     00019C54-00019C62        F
07A309       2    No     00019C63-00019C69        7
07A321       A    Yes    00019C6A-00019C71        8
07A341       A    No     00019C72-00019C80        F
07A427       1    No     00019C81-00019C86        6
07A42F       1    No     00019C87-00019C8C        6
07A436       2    No     00019C8D-00019C93        7
07A43F       1    No     00019C94-00019C99        6
07A454       1    No     00019C9A-00019C9F        6
07A719       8    No     00019CA0-00019CAC        D
07A729       8    No     00019CAD-00019CB9        D
07A749       8    No     00019CBA-00019CC6        D
07A759       8    No     00019CC7-00019CD3        D
07A7CA       6    No     00019CD4-00019CDE        B
07A7DA       6    No     00019CDF-00019CE9        B
07A7EE       3    No     00019CEA-00019CF1        8
07A82E       3    No     00019CF2-00019CF9        8
07A83A       6    No     00019CFA-00019D04        B
07A84A       6    No     00019D05-00019D0F        B
07A859       3    No     00019D10-00019D17        8
07A86D       4    No     00019D18-00019D20        9
07A879       8    No     00019D21-00019D2D        D
07A8B9       8    No     00019D2E-00019D3A        D
07A8CD       4    No     00019D3B-00019D43        9
07A8D9       3    No     00019D44-00019D4B        8
07A8E2       2    No     00019D4C-00019D52        7
07A8EA      17    No     00019D53-00019D6E       1C
07A909       8    No     00019D6F-00019D7B        D
07A919      1B    No     00019D7C-00019D9B       20
07A93A       7    No     00019D9C-00019DA7        C
07A949       3    No     00019DA8-00019DAF        8
07A959       5    No     00019DB0-00019DB9        A
