Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
02AE45      20    No     00003BF6-00003C1A       25
02AE6C      26    No     00003C1B-00003C45       2B
02AEE5      1B    No     00003C46-00003C65       20
02AF85      40    No     00003C66-00003CAA       45
02AFD1       C    No     00003CAB-00003CBB       11
02AFE8       5    No     00003CBC-00003CC5        A
02AFF5      1D    No     00003CC6-00003CE7       22
02B035      48    No     00003CE8-00003D34       4D
02B085       3    No     00003D35-00003D3C        8
02B095      1D    No     00003D3D-00003D5E       22
02B115      48    No     00003D5F-00003DAB       4D
02B165      10    No     00003DAC-00003DC0       15
02B1A5      48    No     00003DC1-00003E0D       4D
02B1F5       D    No     00003E0E-00003E1F       12
02B285      50    No     00003E20-00003E74       55
02B2D7       6    Yes    00003E75-00003E7C        8
02B315      4A    No     00003E7D-00003ECB       4F
02B3C5      40    No     00003ECC-00003F10       45
02B435      3D    No     00003F11-00003F52       42
02B635       2    No     00003F53-00003F59        7
02B655       2    No     00003F5A-00003F60        7
02B698       1    No     00003F61-00003F66        6
02B6B8       1    No     00003F67-00003F6C        6
02B6EF       3    No     00003F6D-00003F74        8
02B70F       3    No     00003F75-00003F7C        8
02B74D       7    No     00003F7D-00003F88        C
02B76D       7    No     00003F89-00003F94        C
02B8C6       E    No     00003F95-00003FA7       13
02B8EB       1    No     00003FA8-00003FAD        6
02B8F3       1    No     00003FAE-00003FB3        6
02B90D       8    No     00003FB4-00003FC0        D
02B91D       8    No     00003FC1-00003FCD        D
02B93D       8    No     00003FCE-00003FDA        D
02B94D       8    No     00003FDB-00003FE7        D
02B960       5    No     00003FE8-00003FF1        A
02B96E       6    No     00003FF2-00003FFC        B
02B97E       6    No     00003FFD-00004007        B
02B992       3    No     00004008-0000400F        8
02B9A2       3    No     00004010-00004017        8
02B9AE       6    No     00004018-00004022        B
02B9BE       6    No     00004023-0000402D        B
02B9D0       5    No     0000402E-00004037        A
02B9DD       6    No     00004038-00004042        B
02B9ED       3    No     00004043-0000404A        8
02BA01       4    No     0000404B-00004053        9
02BA0D       8    No     00004054-00004060        D
02BA4D       8    No     00004061-0000406D        D
02BA61       4    No     0000406E-00004076        9
02BA6D       3    No     00004077-0000407E        8
02BA7D       6    No     0000407F-00004089        B
02BA94       4    No     0000408A-00004092        9
02BA9E      17    No     00004093-000040AE       1C
02BABD       8    No     000040AF-000040BB        D
02BAFD      1B    No     000040BC-000040DB       20
02BB1E       7    No     000040DC-000040E7        C
02BB34       1    No     000040E8-000040ED        6
02BB3D       7    No     000040EE-000040F9        C
02BB4D       3    No     000040FA-00004101        8
02BB5D       5    No     00004102-0000410B        A
02BBCD       5    No     0000410C-00004115        A
02BBDD       3    No     00004116-0000411D        8
02BBED       7    No     0000411E-00004129        C
02BC75       8    No     0000412A-00004136        D
02BC86       7    No     00004137-00004142        C
02BC96       7    No     00004143-0000414E        C
02BCA5       8    No     0000414F-0000415B        D
02BCB5       8    No     0000415C-00004168        D
02BCC5       8    No     00004169-00004175        D
02BCD5       8    No     00004176-00004182        D
02BCE5       8    No     00004183-0000418F        D
02BCF5       8    No     00004190-0000419C        D
02BD05       8    No     0000419D-000041A9        D
02BD15       8    No     000041AA-000041B6        D
02BD25       8    No     000041B7-000041C3        D
02BD35       8    No     000041C4-000041D0        D
02BD45       8    No     000041D1-000041DD        D
02BD55       7    No     000041DE-000041E9        C
02BD65       8    No     000041EA-000041F6        D
02BE39       1    No     000041F7-000041FC        6
02BE3A      1A    Yes    000041FD-00004204        8
02BE54       6    No     00004205-0000420F        B
02BE5A      1A    Yes    00004210-00004217        8
02BE74       6    No     00004218-00004222        B
02BE7A      1A    Yes    00004223-0000422A        8
02BE94       1    No     0000422B-00004230        6
02BEB0       5    No     00004231-0000423A        A
02BECF       6    No     0000423B-00004245        B
02BEEF       6    No     00004246-00004250        B
02BF0F       6    No     00004251-0000425B        B
02BF2F       6    No     0000425C-00004266        B
02BF4F       6    No     00004267-00004271        B
02BF6F       6    No     00004272-0000427C        B
02BF8F       6    No     0000427D-00004287        B
02BFAF       6    No     00004288-00004292        B
02BFCF       6    No     00004293-0000429D        B
02BFEF       6    No     0000429E-000042A8        B
02C00F       6    No     000042A9-000042B3        B
02C02F       6    No     000042B4-000042BE        B
02C03D       1    No     000042BF-000042C4        6
02C04F       6    No     000042C5-000042CF        B
02C05D       1    No     000042D0-000042D5        6
02C06F       6    No     000042D6-000042E0        B
02C08F       6    No     000042E1-000042EB        B
02C09F       1    No     000042EC-000042F1        6
02C0AF       6    No     000042F2-000042FC        B
02C0CF       6    No     000042FD-00004307        B
02C0EF       6    No     00004308-00004312        B
02C10F       B    No     00004313-00004322       10
02C11A      1A    Yes    00004323-0000432A        8
02C134       6    No     0000432B-00004335        B
02C13A      1A    Yes    00004336-0000433D        8
02C154       6    No     0000433E-00004348        B
02C15A      1A    Yes    00004349-00004350        8
02C174       1    No     00004351-00004356        6
02C1F8       1    No     00004357-0000435C        6
02C21D       8    No     0000435D-00004369        D
02C22D       8    No     0000436A-00004376        D
02C24D       8    No     00004377-00004383        D
02C25D       8    No     00004384-00004390        D
02C270       5    No     00004391-0000439A        A
02C27E       6    No     0000439B-000043A5        B
02C28E       6    No     000043A6-000043B0        B
02C2A2       3    No     000043B1-000043B8        8
02C2B2       3    No     000043B9-000043C0        8
02C2BE       6    No     000043C1-000043CB        B
02C2CE       6    No     000043CC-000043D6        B
02C2E0       5    No     000043D7-000043E0        A
02C2ED       6    No     000043E1-000043EB        B
02C2FD       3    No     000043EC-000043F3        8
02C311       4    No     000043F4-000043FC        9
02C31D       8    No     000043FD-00004409        D
02C35D       8    No     0000440A-00004416        D
02C371       4    No     00004417-0000441F        9
02C37D       3    No     00004420-00004427        8
02C38D       6    No     00004428-00004432        B
02C3A4       4    No     00004433-0000443B        9
02C3AE      17    No     0000443C-00004457       1C
02C3CD       8    No     00004458-00004464        D
02C40D      1B    No     00004465-00004484       20
02C42E       7    No     00004485-00004490        C
02C444       1    No     00004491-00004496        6
02C44D      18    No     00004497-000044B3       1D
02C46D       5    No     000044B4-000044BD        A
02C4AD       5    No     000044BE-000044C7        A
02C4BD       3    No     000044C8-000044CF        8
02C4CD       7    No     000044D0-000044DB        C
02C516       7    No     000044DC-000044E7        C
02C526       7    No     000044E8-000044F3        C
02C535       7    No     000044F4-000044FF        C
02C54B       2    No     00004500-00004506        7
02C59A       3    No     00004507-0000450E        8
02C649       1    No     0000450F-00004514        6
02C64A      16    Yes    00004515-0000451C        8
02C660       1    No     0000451D-00004522        6
02C669       1    No     00004523-00004528        6
02C66A      16    Yes    00004529-00004530        8
02C680       1    No     00004531-00004536        6
02C689       3    No     00004537-0000453E        8
02C68C      12    Yes    0000453F-00004546        8
02C69E       3    No     00004547-0000454E        8
02C6AB       1    No     0000454F-00004554        6
02C6AC      12    Yes    00004555-0000455C        8
02C6BE       1    No     0000455D-00004562        6
02C6C6       6    No     00004563-0000456D        B
02C6CC      12    Yes    0000456E-00004575        8
02C6DE       1    No     00004576-0000457B        6
02C77A       3    No     0000457C-00004583        8
02C796       5    Yes    00004584-0000458B        8
02C7D6       5    Yes    0000458C-00004593        8
02C7FA       1    No     00004594-00004599        6
02C806       6    No     0000459A-000045A4        B
02C80C      12    Yes    000045A5-000045AC        8
02C82C      12    Yes    000045AD-000045B4        8
02C90B       1    No     000045B5-000045BA        6
02C90C      12    Yes    000045BB-000045C2        8
02C91E       1    No     000045C3-000045C8        6
02C929       3    No     000045C9-000045D0        8
02C92C      12    Yes    000045D1-000045D8        8
02C93E       E    No     000045D9-000045EB       13
02C94C      12    Yes    000045EC-000045F3        8
02C95E       3    No     000045F4-000045FB        8
02C969       3    No     000045FC-00004603        8
02C96C      12    Yes    00004604-0000460B        8
02C97E       3    No     0000460C-00004613        8
02C989       1    No     00004614-00004619        6
02C98A      16    Yes    0000461A-00004621        8
02C9A0       5    No     00004622-0000462B        A
02C9A5      20    Yes    0000462C-00004633        8
02CA08       1    No     00004634-00004639        6
02D1D5      B0    Yes    0000463A-00004641        8
02D296      6F    No     00004642-000046B5       74
02D3B5      10    Yes    000046B6-000046BD        8
02D3C5      30    No     000046BE-000046F2       35
02D415      30    No     000046F3-00004727       35
02D465      10    No     00004728-0000473C       15
02D575      42    Yes    0000473D-00004744        8
02D5B7       1    No     00004745-0000474A        6
02D5B8      1A    Yes    0000474B-00004752        8
02D5D2       6    No     00004753-0000475D        B
02D5E1       1    No     0000475E-00004763        6
02D5E2      10    Yes    00004764-0000476B        8
02D5F2       6    No     0000476C-00004776        B
02D614       4    No     00004777-0000477F        9
02D633       5    No     00004780-00004789        A
02D653       5    No     0000478A-00004793        A
02D673       5    No     00004794-0000479D        A
02D693       5    No     0000479E-000047A7        A
02D6B3       5    No     000047A8-000047B1        A
02D6D3       5    No     000047B2-000047BB        A
02D6F3       5    No     000047BC-000047C5        A
02D6F8       9    Yes    000047C6-000047CD        8
02D713       5    No     000047CE-000047D7        A
02D718       9    Yes    000047D8-000047DF        8
02D733       5    No     000047E0-000047E9        A
02D738       9    Yes    000047EA-000047F1        8
02D754       4    No     000047F2-000047FA        9
02D773       5    No     000047FB-00004804        A
02D793       5    No     00004805-0000480E        A
02D7B3       5    No     0000480F-00004818        A
02D7D3       D    No     00004819-0000482A       12
02D7F3       5    No     0000482B-00004834        A
02D813       5    No     00004835-0000483E        A
02D833       C    No     0000483F-0000484F       11
02D853       5    No     00004850-00004859        A
02D873       5    No     0000485A-00004863        A
02D894       4    No     00004864-0000486C        9
02D8B3       5    No     0000486D-00004876        A
02D8B8       9    Yes    00004877-0000487E        8
02D8D3       4    Yes    0000487F-00004886        8
02D8F3      42    Yes    00004887-0000488E        8
02D99D       8    No     0000488F-0000489B        D
02D9AD       8    No     0000489C-000048A8        D
02D9CD       8    No     000048A9-000048B5        D
02D9DD       8    No     000048B6-000048C2        D
02DA4E       6    No     000048C3-000048CD        B
02DA5E       6    No     000048CE-000048D8        B
02DA72       3    No     000048D9-000048E0        8
02DB25      10    No     000048E1-000048F5       15
02DB52       3    No     000048F6-000048FD        8
02DB5E       6    No     000048FE-00004908        B
02DB6E       6    No     00004909-00004913        B
02DB7D       3    No     00004914-0000491B        8
02DB91       4    No     0000491C-00004924        9
02DB9D       8    No     00004925-00004931        D
02DC0D       8    No     00004932-0000493E        D
02DC21       4    No     0000493F-00004947        9
02DC2D       3    No     00004948-0000494F        8
02DC36       2    No     00004950-00004956        7
02DC3E      17    No     00004957-00004972       1C
02DC5D       8    No     00004973-0000497F        D
02DC8D      1B    No     00004980-0000499F       20
02DCAE       7    No     000049A0-000049AB        C
02DCBD       3    No     000049AC-000049B3        8
02DCCD       5    No     000049B4-000049BD        A
02DCDD       5    No     000049BE-000049C7        A
02DCED      E5    No     000049C8-00004AB1       EA
02DE25      14    Yes    00004AB2-00004AB9        8
02DE39       4    No     00004ABA-00004AC2        9
02DE45       8    No     00004AC3-00004ACF        D
02DE55       8    No     00004AD0-00004ADC        D
02DE65       8    Yes    00004ADD-00004AE4        8
02DE75      17    No     00004AE5-00004B00       1C
02DE95       7    No     00004B01-00004B0C        C
02DEA5       8    No     00004B0D-00004B19        D
02DEB5       7    No     00004B1A-00004B25        C
02DEC5       8    No     00004B26-00004B32        D
02DED5      10    No     00004B33-00004B47       15
02DEE6      17    Yes    00004B48-00004B4F        8
02DF07       6    No     00004B50-00004B5A        B
02DF17       6    No     00004B5B-00004B65        B
02DF25       8    No     00004B66-00004B72        D
02DF35       8    No     00004B73-00004B7F        D
02DF46       7    No     00004B80-00004B8B        C
02DF56       7    No     00004B8C-00004B97        C
02DF65       8    No     00004B98-00004BA4        D
02DF75       8    No     00004BA5-00004BB1        D
02DF85      11    Yes    00004BB2-00004BB9        8
02DFA5       8    No     00004BBA-00004BC6        D
02DFB5       8    No     00004BC7-00004BD3        D
02DFC5       7    No     00004BD4-00004BDF        C
02DFD5       7    No     00004BE0-00004BEB        C
02DFE5       8    No     00004BEC-00004BF8        D
02DFF5       8    No     00004BF9-00004C05        D
02E188       2    No     00004C06-00004C0C        7
02E1A8       2    No     00004C0D-00004C13        7
02E1E8       2    No     00004C14-00004C1A        7
02E208       2    No     00004C1B-00004C21        7
02E28E       1    No     00004C22-00004C27        6
02E2AE       1    No     00004C28-00004C2D        6
02E478       4    No     00004C2E-00004C36        9
02E496       8    No     00004C37-00004C43        D
02EADC     18B    No     00004C44-00004DD3      190
02F948       1    No     00004DD4-00004DD9        6
02FC5D     1DD    No     00004DDA-00004FBB      1E2
03002D      25    No     00004FBC-00004FE5       2A
030059      1D    No     00004FE6-00005007       22
030081       B    No     00005008-00005017       10
030097      25    No     00005018-00005041       2A
03011B       1    No     00005042-00005047        6
030123       3    No     00005048-0000504F        8
03012D      15    No     00005050-00005069       1A
03015D       7    No     0000506A-00005075        C
030179       1    No     00005076-0000507B        6
03018F      23    No     0000507C-000050A3       28
0301D7       A    Yes    000050A4-000050AB        8
0301E1      11    No     000050AC-000050C1       16
0301F9     18C    No     000050C2-00005252      191
0303A1      2A    No     00005253-00005281       2F
0303D6      15    No     00005282-0000529B       1A
030403      36    No     0000529C-000052D6       3B
03043F      19    No     000052D7-000052F4       1E
03045F       8    No     000052F5-00005301        D
030467       C    Yes    00005302-00005309        8
030479      49    No     0000530A-00005357       4E
030588     14F    No     00005358-000054AB      154
03070B       8    No     000054AC-000054B8        D
03072D       A    No     000054B9-000054C7        F
03075C      21    No     000054C8-000054ED       26
0307DA     171    No     000054EE-00005663      176
030955      11    Yes    00005664-0000566B        8
030966     18E    No     0000566C-000057FE      193
030AF4     48F    Yes    000057FF-00005806        8
030F83      14    No     00005807-0000581F       19
030F9D     6F2    No     00005820-00005F16      6F7
031697       1    No     00005F17-00005F1C        6
0316E9     282    No     00005F1D-000061A3      287
031971       7    No     000061A4-000061AF        C
031985       1    No     000061B0-000061B5        6
03198D       1    No     000061B6-000061BB        6
031995      1F    No     000061BC-000061DF       24
031A0F      4E    No     000061E0-00006232       53
031A5D       E    Yes    00006233-0000623A        8
031A6B     21F    No     0000623B-0000645E      224
031CB2     13E    No     0000645F-000065A1      143
031DF6    1190    No     000065A2-00007736     1195
032F86      15    Yes    00007737-0000773E        8
032F9B      67    No     0000773F-000077AA       6C
033002      23    Yes    000077AB-000077B2        8
033029     10C    No     000077B3-000078C3      111
033135       E    Yes    000078C4-000078CB        8
033149      59    No     000078CC-00007929       5E
0331B1       2    No     0000792A-00007930        7
0331B3      18    Yes    00007931-00007938        8
0331CB       8    No     00007939-00007945        D
0331D9      C6    No     00007946-00007A10       CB
0333BD     933    No     00007A11-00008348      938
033CF0       B    Yes    00008349-00008350        8
033D5B     12F    No     00008351-00008484      134
033E8A       E    Yes    00008485-0000848C        8
033E98      12    No     0000848D-000084A3       17
033EAA      33    Yes    000084A4-000084AB        8
033EDD      68    No     000084AC-00008518       6D
033F45      15    Yes    00008519-00008520        8
03427E      50    No     00008521-00008575       55
0342CE       F    Yes    00008576-0000857D        8
0342DD      C2    No     0000857E-00008644       C7
03439F       F    Yes    00008645-0000864C        8
0343AE      CE    No     0000864D-0000871F       D3
03447C      3D    Yes    00008720-00008727        8
0346A1     12A    No     00008728-00008856      12F
0347CB      7D    Yes    00008857-0000885E        8
034862      25    No     0000885F-00008888       2A
034887      1A    Yes    00008889-00008890        8
0348A1      3A    No     00008891-000088CF       3F
0348E3       1    No     000088D0-000088D5        6
0348EF       1    No     000088D6-000088DB        6
03492F      24    No     000088DC-00008904       29
03495F      24    No     00008905-0000892D       29
034990      31    No     0000892E-00008963       36
0349CC      1B    No     00008964-00008983       20
0349FF      4A    No     00008984-000089D2       4F
034AF9      16    No     000089D3-000089ED       1B
034B1B      2C    No     000089EE-00008A1E       31
034B51       5    No     00008A1F-00008A28        A
034B5D      58    No     00008A29-00008A85       5D
034BBD       7    No     00008A86-00008A91        C
034BE1       1    No     00008A92-00008A97        6
034BED       F    No     00008A98-00008AAB       14
034CB3     1A0    No     00008AAC-00008C50      1A5
034E8B      2D    No     00008C51-00008C82       32
034F18      20    No     00008C83-00008CA7       25
034F38       F    Yes    00008CA8-00008CAF        8
034F47     136    No     00008CB0-00008DEA      13B
0350BD      69    No     00008DEB-00008E58       6E
03513A      55    No     00008E59-00008EB2       5A
035206      C9    No     00008EB3-00008F80       CE
035355     156    No     00008F81-000090DB      15B
0354E1      60    No     000090DC-00009140       65
